date,week,start,max_p,min_p,end,hi,hiper,daka
19/11/05(火),火,234,234,230,230,-2,-0.9,94600
19/11/01(金),金,236,237,231,232,+1,+0.4,170800
19/10/31(木),木,227,233,227,231,+4,+1.8,82800
19/10/30(水),水,231,231,226,227,-4,-1.7,130600
19/10/29(火),火,230,232,230,231,+3,+1.3,69100
19/10/28(月),月,230,232,228,228,-2,-0.9,89700
19/10/25(金),金,225,233,225,230,+6,+2.7,178800
19/10/24(木),木,226,227,224,224,-2,-0.9,86400
19/10/23(水),水,219,227,218,226,+8,+3.7,179600
19/10/21(月),月,218,221,216,218,0,0.0,94200
19/10/18(金),金,221,223,217,218,-2,-0.9,107400
19/10/17(木),木,218,222,218,220,+2,+0.9,106800
19/10/16(水),水,221,224,217,218,-1,-0.5,175300
19/10/15(火),火,218,220,217,219,+2,+0.9,183300
19/10/11(金),金,224,227,217,217,-13,-5.7,375500
19/10/10(木),木,231,231,228,230,-3,-1.3,116500
19/10/09(水),水,230,233,229,233,+2,+0.9,54100
19/10/08(火),火,230,234,229,231,+3,+1.3,162700
19/10/07(月),月,230,230,227,228,-2,-0.9,94500
19/10/04(金),金,230,232,229,230,-1,-0.4,87200
19/10/03(木),木,231,232,228,231,-4,-1.7,140600
19/10/02(水),水,236,237,233,235,-2,-0.8,83100
19/10/01(火),火,238,238,234,237,+5,+2.2,82700
19/09/30(月),月,229,233,228,232,+3,+1.3,74700
19/09/27(金),金,236,237,229,229,-5,-2.1,98700
19/09/26(木),木,239,239,233,234,-5,-2.1,124200
19/09/25(水),水,240,241,234,239,-1,-0.4,138300
19/09/24(火),火,239,242,238,240,0,0.0,140400
19/09/20(金),金,242,242,236,240,0,0.0,178000
19/09/19(木),木,237,241,231,240,+7,+3.0,620200
19/09/18(水),水,236,236,232,233,-3,-1.3,72600
19/09/17(火),火,229,239,228,236,+3,+1.3,146600
19/09/13(金),金,235,235,231,233,0,0.0,120800
19/09/12(木),木,234,234,230,233,0,0.0,126800
19/09/11(水),水,226,233,226,233,+7,+3.1,279700
19/09/10(火),火,224,228,223,226,+2,+0.9,159500
19/09/09(月),月,220,226,219,224,+3,+1.4,104100
19/09/06(金),金,225,226,221,221,-4,-1.8,65300
19/09/05(木),木,220,226,220,225,+6,+2.7,104700
19/09/04(水),水,223,223,218,219,-4,-1.8,67100
19/09/03(火),火,222,230,219,223,+7,+3.2,367300
19/09/02(月),月,218,219,216,216,-3,-1.4,45500
19/08/30(金),金,217,221,216,219,+4,+1.9,90300
19/08/29(木),木,218,218,211,215,+3,+1.4,124800
19/08/28(水),水,214,218,211,212,-4,-1.9,76800
19/08/27(火),火,214,217,213,216,+5,+2.4,74400
19/08/26(月),月,214,215,211,211,-9,-4.1,120700
19/08/23(金),金,226,226,220,220,-6,-2.7,92000
19/08/22(木),木,222,227,219,226,+7,+3.2,157600
19/08/21(水),水,218,220,218,219,-3,-1.4,50500
19/08/20(火),火,218,222,218,222,+4,+1.8,79000
19/08/19(月),月,217,221,217,218,+2,+0.9,92800
19/08/16(金),金,212,217,211,216,+3,+1.4,95500
19/08/15(木),木,212,216,210,213,-6,-2.7,212700
19/08/14(水),水,221,222,218,219,+2,+0.9,59000
19/08/13(火),火,218,218,216,217,-5,-2.3,73700
19/08/09(金),金,222,225,221,222,-2,-0.9,141600
19/08/08(木),木,224,225,220,224,-1,-0.4,103400
19/08/07(水),水,225,227,222,225,-1,-0.4,114500
19/08/06(火),火,215,230,212,226,+2,+0.9,228400
19/08/05(月),月,228,229,220,224,-6,-2.6,256500
19/08/02(金),金,235,235,228,230,-7,-3.0,270900
19/08/01(木),木,237,238,235,237,-2,-0.8,106800
19/07/31(水),水,239,240,238,239,0,0.0,47900
19/07/30(火),火,237,241,237,239,+2,+0.8,175600
19/07/29(月),月,239,240,235,237,-2,-0.8,160600
19/07/26(金),金,239,240,237,239,0,0.0,100000
19/07/25(木),木,239,240,237,239,0,0.0,104400
19/07/24(水),水,241,241,239,239,-1,-0.4,79300
19/07/23(火),火,238,241,237,240,+1,+0.4,216400
19/07/22(月),月,239,240,237,239,-3,-1.2,181300
19/07/19(金),金,242,242,239,242,+1,+0.4,141000
19/07/18(木),木,244,244,240,241,-4,-1.6,143400
19/07/17(水),水,245,246,241,245,+1,+0.4,136300
19/07/16(火),火,245,250,243,244,-2,-0.8,265600
19/07/12(金),金,254,255,246,246,-7,-2.8,555200
19/07/11(木),木,264,264,249,253,-15,-5.6,708400
19/07/10(水),水,271,278,267,268,-3,-1.1,389700
19/07/09(火),火,280,281,269,271,-5,-1.8,394500
19/07/08(月),月,277,280,275,276,+1,+0.4,241000
19/07/05(金),金,276,277,272,275,0,0.0,175100
19/07/04(木),木,268,277,264,275,+4,+1.5,488100
19/07/03(水),水,271,273,267,271,0,0.0,145200
19/07/02(火),火,267,274,267,271,+5,+1.9,152800
19/07/01(月),月,266,271,266,266,+6,+2.3,131700
19/06/28(金),金,261,265,257,260,-5,-1.9,135100
19/06/27(木),木,257,265,256,265,+8,+3.1,122500
19/06/26(水),水,255,260,253,257,0,0.0,114700
19/06/25(火),火,256,260,253,257,-1,-0.4,154900
19/06/24(月),月,262,263,258,258,-5,-1.9,136000
19/06/21(金),金,270,271,263,263,-7,-2.6,113300
19/06/20(木),木,271,274,267,270,-1,-0.4,113600
19/06/19(水),水,263,272,263,271,+10,+3.8,156600
19/06/18(火),火,269,271,261,261,-8,-3.0,134800
19/06/17(月),月,271,274,269,269,-4,-1.5,79500
19/06/14(金),金,270,274,269,273,+4,+1.5,79200
19/06/13(木),木,269,273,267,269,-3,-1.1,169100
19/06/12(水),水,272,276,272,272,-3,-1.1,94500
19/06/11(火),火,270,276,268,275,+5,+1.9,143800
19/06/10(月),月,266,275,266,270,+5,+1.9,303400
19/06/07(金),金,259,266,257,265,+5,+1.9,164200
19/06/06(木),木,263,266,260,260,-3,-1.1,110700
19/06/05(水),水,258,269,258,263,+9,+3.5,243500
19/06/04(火),火,255,255,245,254,+1,+0.4,328900
19/06/03(月),月,263,264,252,253,-15,-5.6,320100
19/05/31(金),金,269,272,268,268,-2,-0.7,237400
19/05/30(木),木,271,273,267,270,-4,-1.5,137400
19/05/29(水),水,282,282,271,274,-10,-3.5,220100
19/05/28(火),火,284,287,282,284,-1,-0.4,138900
19/05/27(月),月,280,290,280,285,+8,+2.9,357600
19/05/24(金),金,272,279,271,277,+1,+0.4,190700
19/05/23(木),木,277,282,275,276,-2,-0.7,220100
19/05/22(水),水,269,282,269,278,+9,+3.3,249100
19/05/21(火),火,272,274,264,269,-6,-2.2,239400
19/05/20(月),月,282,286,275,275,-5,-1.8,184500
19/05/17(金),金,277,283,275,280,+6,+2.2,186000
19/05/16(木),木,279,279,272,274,-3,-1.1,213600
19/05/15(水),水,276,278,269,277,+4,+1.5,267700
19/05/14(火),火,268,274,255,273,-9,-3.2,378600
19/05/13(月),月,286,291,280,282,-4,-1.4,322200
19/05/10(金),金,285,294,283,286,-1,-0.3,355800
19/05/09(木),木,290,295,282,287,-3,-1.0,376800
19/05/08(水),水,290,294,287,290,-3,-1.0,274400
19/05/07(火),火,298,299,291,293,-7,-2.3,308300
19/04/26(金),金,291,300,291,300,+6,+2.0,351900
19/04/25(木),木,300,306,294,294,-6,-2.0,518500
19/04/24(水),水,300,306,299,300,0,0.0,398900
19/04/23(火),火,310,312,296,300,-10,-3.2,544700
19/04/22(月),月,302,313,298,310,+7,+2.3,661400
19/04/19(金),金,307,317,301,303,+3,+1.0,777400
19/04/18(木),木,315,317,298,300,-18,-5.7,1005500
19/04/17(水),水,325,327,311,318,-9,-2.8,1163700
19/04/16(火),火,303,330,303,327,+25,+8.3,2063200
19/04/15(月),月,304,311,300,302,-2,-0.7,996600
19/04/12(金),金,285,308,285,304,+20,+7.0,1672900
19/04/11(木),木,287,293,283,284,-7,-2.4,1108900
19/04/10(水),水,302,323,288,291,+20,+7.4,8801400
19/04/09(火),火,268,275,261,271,+3,+1.1,490500
19/04/08(月),月,267,268,259,268,+2,+0.8,242600
19/04/05(金),金,266,269,263,266,+5,+1.9,233600
19/04/04(木),木,274,274,260,261,-9,-3.3,323900
19/04/03(水),水,260,273,259,270,+12,+4.7,704200
19/04/02(火),火,257,262,252,258,+2,+0.8,246100
19/04/01(月),月,257,258,254,256,0,0.0,205500
19/03/29(金),金,250,258,250,256,+7,+2.8,193400
19/03/28(木),木,256,256,247,249,-8,-3.1,224000
19/03/27(水),水,252,258,252,257,+6,+2.4,266300
19/03/26(火),火,244,252,244,251,+9,+3.7,235300
19/03/25(月),月,244,246,240,242,-8,-3.2,185300
19/03/22(金),金,247,250,245,250,+2,+0.8,141400
19/03/20(水),水,247,250,245,248,0,0.0,123500
19/03/19(火),火,249,251,245,248,-3,-1.2,264300
19/03/18(月),月,247,256,247,251,+3,+1.2,239200
19/03/15(金),金,246,251,245,248,+2,+0.8,160800
19/03/14(木),木,248,252,246,246,-2,-0.8,139600
19/03/13(水),水,250,252,244,248,-3,-1.2,340500
19/03/12(火),火,249,254,248,251,+5,+2.0,209800
19/03/11(月),月,244,248,240,246,-1,-0.4,232200
19/03/08(金),金,252,254,244,247,-9,-3.5,506900
19/03/07(木),木,257,259,254,256,-2,-0.8,195800
19/03/06(水),水,261,263,256,258,-5,-1.9,286800
19/03/05(火),火,259,268,259,263,+3,+1.2,452500
19/03/04(月),月,260,261,257,260,+1,+0.4,107600
19/03/01(金),金,254,262,254,259,+6,+2.4,252700
19/02/28(木),木,259,264,253,253,-6,-2.3,251000
19/02/27(水),水,254,262,253,259,+4,+1.6,167000
19/02/26(火),火,261,262,253,255,-8,-3.0,261400
19/02/25(月),月,258,264,256,263,+6,+2.3,285000
19/02/22(金),金,262,262,255,257,-5,-1.9,300300
19/02/21(木),木,271,272,259,262,-9,-3.3,778000
19/02/20(水),水,249,274,249,271,+23,+9.3,1200800
19/02/19(火),火,250,251,244,248,0,0.0,288400
19/02/18(月),月,244,266,239,248,+10,+4.2,1417200
19/02/15(金),金,243,243,238,238,-5,-2.1,240100
19/02/14(木),木,246,248,240,243,-3,-1.2,307800
19/02/13(水),水,241,249,241,246,+2,+0.8,315800
19/02/12(火),火,238,246,236,244,+3,+1.2,408900
19/02/08(金),金,247,250,240,241,-9,-3.6,490100
19/02/07(木),木,262,262,249,250,-11,-4.2,650000
19/02/06(水),水,259,265,258,261,+2,+0.8,318600
19/02/05(火),火,258,263,256,259,+2,+0.8,436200
19/02/04(月),月,256,259,251,257,+1,+0.4,373200
19/02/01(金),金,255,263,255,256,-1,-0.4,369700
19/01/31(木),木,256,260,255,257,+2,+0.8,292100
19/01/30(水),水,261,262,255,255,-6,-2.3,312600
19/01/29(火),火,256,268,255,261,+5,+2.0,656700
19/01/28(月),月,253,257,251,256,+3,+1.2,483300
19/01/25(金),金,252,255,247,253,0,0.0,529400
19/01/24(木),木,253,256,252,253,-2,-0.8,340900
19/01/23(水),水,254,261,252,255,-2,-0.8,441100
19/01/22(火),火,263,268,255,257,-3,-1.2,733600
19/01/21(月),月,251,265,251,260,+9,+3.6,1269400
19/01/18(金),金,260,261,250,251,-9,-3.5,1444800
19/01/17(木),木,261,263,257,260,0,0.0,863300
19/01/16(水),水,261,264,257,260,-5,-1.9,940100
19/01/15(火),火,262,267,256,265,-1,-0.4,876800
19/01/11(金),金,265,276,261,266,-6,-2.2,2319400
19/01/10(木),木,272,273,272,272,-80,-22.7,999000
19/01/09(水),水,367,368,348,352,-20,-5.4,648900
19/01/08(火),火,362,375,361,372,+20,+5.7,413600
19/01/07(月),月,350,357,347,352,+14,+4.1,236200
19/01/04(金),金,337,339,322,338,-7,-2.0,279100
18/12/28(金),金,356,360,345,345,-11,-3.1,236300
18/12/27(木),木,354,360,346,356,+22,+6.6,208000
18/12/26(水),水,333,350,326,334,+4,+1.2,312100
18/12/25(火),火,304,347,304,330,-30,-8.3,552500
18/12/21(金),金,340,365,333,360,+13,+3.7,545400
18/12/20(木),木,360,363,342,347,-21,-5.7,423600
18/12/19(水),水,361,375,360,368,+1,+0.3,225200
18/12/18(火),火,372,378,363,367,-17,-4.4,356100
18/12/17(月),月,388,389,377,384,-7,-1.8,236100
18/12/14(金),金,400,403,390,391,-9,-2.2,386700
18/12/13(木),木,400,406,397,400,0,0.0,205300
18/12/12(水),水,396,404,391,400,+9,+2.3,325500
18/12/11(火),火,405,413,390,391,-12,-3.0,376100
18/12/10(月),月,413,415,401,403,-18,-4.3,492500
18/12/07(金),金,439,440,421,421,-14,-3.2,310700
18/12/06(木),木,466,467,434,435,-37,-7.8,351300
18/12/05(水),水,462,475,461,472,-3,-0.6,157200
18/12/04(火),火,475,482,467,475,0,0.0,187400
18/12/03(月),月,470,476,467,475,+10,+2.2,159000
18/11/30(金),金,465,473,459,465,-1,-0.2,135700
18/11/29(木),木,468,468,460,466,+4,+0.9,145300
18/11/28(水),水,459,466,456,462,+3,+0.7,129200
18/11/27(火),火,458,466,453,459,+7,+1.5,185800
18/11/26(月),月,442,455,438,452,+13,+3.0,225500
18/11/22(木),木,429,441,420,439,+11,+2.6,296100
18/11/21(水),水,433,438,424,428,-13,-2.9,331100
18/11/20(火),火,477,477,438,441,-43,-8.9,594100
18/11/19(月),月,468,487,468,484,+14,+3.0,194800
18/11/16(金),金,481,486,469,470,-11,-2.3,193800
18/11/15(木),木,479,487,473,481,+2,+0.4,152700
18/11/14(水),水,480,491,478,479,-1,-0.2,190500
18/11/13(火),火,470,486,466,480,-6,-1.2,324700
18/11/12(月),月,477,494,477,486,+7,+1.5,231100
18/11/09(金),金,484,488,475,479,-1,-0.2,172700
18/11/08(木),木,485,488,478,480,+3,+0.6,127500
18/11/07(水),水,473,482,469,477,+6,+1.3,202900
18/11/06(火),火,483,488,468,471,-12,-2.5,222900
18/11/05(月),月,472,486,466,483,+9,+1.9,240700
18/11/02(金),金,471,481,470,474,+3,+0.6,213800
18/11/01(木),木,476,482,468,471,-1,-0.2,217100
18/10/31(水),水,473,477,468,472,+6,+1.3,211900
18/10/30(火),火,457,477,454,466,+1,+0.2,398300
18/10/29(月),月,467,476,462,465,+1,+0.2,379600
18/10/26(金),金,483,486,458,464,-5,-1.1,476000
18/10/25(木),木,488,490,466,469,-40,-7.9,667300
18/10/24(水),水,521,522,500,509,-10,-1.9,355500
18/10/23(火),火,524,532,517,519,-12,-2.3,395800
18/10/22(月),月,534,535,522,531,+5,+1.0,489700
18/10/19(金),金,516,536,512,526,+8,+1.5,714500
18/10/18(木),木,509,534,507,518,+11,+2.2,1066900
18/10/17(水),水,482,510,482,507,+35,+7.4,928000
18/10/16(火),火,471,478,456,472,-4,-0.8,533400
18/10/15(月),月,481,484,468,476,-6,-1.2,298100
18/10/12(金),金,471,487,470,482,+13,+2.8,326800
18/10/11(木),木,453,476,453,469,-8,-1.7,497700
18/10/10(水),水,479,492,466,477,-10,-2.1,493200
18/10/09(火),火,460,502,455,487,+24,+5.2,961700
18/10/05(金),金,479,482,463,463,-21,-4.3,611500
18/10/04(木),木,482,489,470,484,+1,+0.2,609600
18/10/03(水),水,499,509,476,483,-11,-2.2,517300
18/10/02(火),火,479,500,479,494,+15,+3.1,598300
18/10/01(月),月,483,489,473,479,+4,+0.8,379400
18/09/28(金),金,490,504,460,475,-3,-0.6,781800
18/09/27(木),木,506,512,472,478,-26,-5.2,750800
18/09/26(水),水,492,507,491,504,+18,+3.7,753400
18/09/25(火),火,485,504,476,486,+13,+2.7,1352100
18/09/21(金),金,445,484,445,473,+52,+12.4,2660600
18/09/20(木),木,427,430,419,421,-7,-1.6,173800
18/09/19(水),水,444,458,426,428,-11,-2.5,460100
18/09/18(火),火,420,440,419,439,+19,+4.5,226500
18/09/14(金),金,412,423,412,420,+6,+1.4,146300
18/09/13(木),木,415,419,411,414,-1,-0.2,119700
18/09/12(水),水,424,427,412,415,-8,-1.9,142600
18/09/11(火),火,421,425,417,423,+6,+1.4,202400
18/09/10(月),月,413,419,412,417,+4,+1.0,101700
18/09/07(金),金,414,415,405,413,-3,-0.7,200700
18/09/06(木),木,421,421,413,416,-5,-1.2,124700
18/09/05(水),水,417,427,413,421,+5,+1.2,120300
18/09/04(火),火,416,419,411,416,+3,+0.7,127800
18/09/03(月),月,427,427,412,413,-12,-2.8,222100
18/08/31(金),金,424,432,422,425,0,0.0,180800
18/08/30(木),木,422,431,421,425,+3,+0.7,150000
18/08/29(水),水,421,430,421,422,-1,-0.2,166200
18/08/28(火),火,432,434,422,423,-7,-1.6,128200
18/08/27(月),月,426,434,424,430,+4,+0.9,146500
18/08/24(金),金,437,437,426,426,-8,-1.8,155000
18/08/23(木),木,428,436,425,434,+2,+0.5,135800
18/08/22(水),水,434,435,426,432,-2,-0.5,132300
18/08/21(火),火,419,437,406,434,+9,+2.1,317000
18/08/20(月),月,430,434,424,425,-3,-0.7,224700
18/08/17(金),金,420,430,420,428,+11,+2.6,109700
18/08/16(木),木,425,425,412,417,-8,-1.9,180200
18/08/15(水),水,418,435,418,425,+10,+2.4,344200
18/08/14(火),火,403,416,403,415,+12,+3.0,196100
18/08/13(月),月,406,411,399,403,-5,-1.2,331200
18/08/10(金),金,421,424,405,408,-11,-2.6,324400
